business_name,project_name,project_category,current_stage,milestone_stage,milestone_name,milestone_prefix,target_date,completed_date,days_to_target,notes,is_completed,has_target,on_time,is_late
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Live,Idea,Project Defined,idea_project_defined,2025-05-01,2025-05-01,OK,,True,True,True,False
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Live,Idea,Business Case Approved,idea_business_case_approved,2025-05-01,2025-05-01,OK,,True,True,True,False
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Live,Idea,Resources Allocated,idea_resources_allocated,2025-05-01,2025-05-01,OK,,True,True,True,False
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Live,Develop,Technical POC Validated,develop_technical_poc_validated,2025-05-01,2025-05-01,OK,,True,True,True,False
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Live,Develop,Dev Roadmap Documented,develop_dev_roadmap_documented,2025-05-01,2025-05-01,OK,,True,True,True,False
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Live,Develop,Coding Started,develop_coding_started,2025-05-01,2025-05-01,OK,,True,True,True,False
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Live,Pilot,Deployment to Beta,pilot_deployment_to_beta,2025-06-01,2025-06-01,OK,,True,True,True,False
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Live,Pilot,Initial Metrics/Feedback,pilot_initial_metrics_feedback,2025-06-01,2025-06-01,OK,,True,True,True,False
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Live,Pilot,Feedback Affecting Code,pilot_feedback_affecting_code,2025-06-01,2025-06-01,OK,,True,True,True,False
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Live,Live,General Release Available,live_general_release_available,2025-09-01,2025-09-01,OK,,True,True,True,False
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Live,Live,Success Metrics Tracking,live_success_metrics_tracking,2025-10-20,2025-10-20,OK,,True,True,True,False
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Live,Live,Feedback Loop Continuing,live_feedback_loop_continuing,2025-11-01,,Incomplete,,False,True,False,False
ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Live,Idea,Project Defined,idea_project_defined,2025-02-01,2025-02-01,OK,,True,True,True,False
ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Live,Idea,Business Case Approved,idea_business_case_approved,2025-02-01,2025-02-01,OK,,True,True,True,False
ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Live,Idea,Resources Allocated,idea_resources_allocated,2025-02-01,2025-02-01,OK,,True,True,True,False
ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Live,Develop,Technical POC Validated,develop_technical_poc_validated,2025-04-01,2025-04-01,OK,,True,True,True,False
ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Live,Develop,Dev Roadmap Documented,develop_dev_roadmap_documented,2025-04-01,2025-04-01,OK,,True,True,True,False
ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Live,Develop,Coding Started,develop_coding_started,2025-04-01,2025-04-01,OK,,True,True,True,False
ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Live,Pilot,Deployment to Beta,pilot_deployment_to_beta,2025-06-01,2025-06-01,OK,,True,True,True,False
ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Live,Pilot,Initial Metrics/Feedback,pilot_initial_metrics_feedback,2025-09-01,2025-09-01,OK,,True,True,True,False
ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Live,Pilot,Feedback Affecting Code,pilot_feedback_affecting_code,2025-09-01,2025-09-01,OK,,True,True,True,False
