kpi_category,measurement_approach,business_name,project_name,project_category,support_description,support_quality_score,support_quality_category,measurement_quality_score,measurement_quality_category,support_has_metric,support_has_timeframe,measurement_has_metric,measurement_has_timeframe,support_word_count,measurement_word_count
Adoption Rate,Tracking the number of licences issues as a % of near shore headcount (POs raised),ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,"80% of near shore resources with a Copilot licence
(42 users)",3,Poor,3,Poor,TRUE,FALSE,TRUE,FALSE,11,15
Productivity Gains,75% adaptation across Microsoft Office suite within ClubWise Ecosysystem,ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Near shore team members encouraged to use MS Copilot extensively across the MS Office apps within the ClubWise Ecosystem.  Taking an AI first approach within the tools.,2,Poor,3,Poor,FALSE,FALSE,TRUE,FALSE,27,9
Cost Savings,Under review,ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Encouraging use of AI tools to reduce the time taken on everyday tasks,4,Fair,0,Very Poor,TRUE,FALSE,FALSE,FALSE,13,2
Integration Depth,75% of Developers using Q Developer in weekly sprints,ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,100% of development team actively using Amazon Q tools for code review.,3,Poor,5,Fair,TRUE,FALSE,TRUE,TRUE,12,9
Process Improvement,75% 0f code delivered weekly crearted / reviewed weekly using AI tools,ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Improved adherence to coding standards and policy will reduce errors and development escapes.,1,Very Poor,5,Fair,FALSE,FALSE,TRUE,TRUE,13,12
Skills Development,Code delivery velocity  increases by 50%  vs benchmark taken in Q3,ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Developers will develop code faster and with fewer errors,2,Poor,4,Fair,FALSE,TRUE,TRUE,FALSE,9,11
Adoption Rate,Number of actively used licences in target group - Target 1 licence for each of the 5 teams.  Target 100% adoption,ClubWise,Accelerate Creation of Knowledge Base Articles for Customer Success / Support using AI,L1. Using external AI tools for basic internal productivity,Customer facing teams have at least one team member creating user documentation weekly,2,Poor,6,Good,FALSE,TRUE,TRUE,FALSE,13,21
Productivity Gains,Scribe to be used to update 60 core knowledge base articles by the end of October 2025,ClubWise,Accelerate Creation of Knowledge Base Articles for Customer Success / Support using AI,L1. Using external AI tools for basic internal productivity,This solution will enable internal teams to easily and quickly create user documentation and processes allowing them to focus on more complex problems which will driver more job satisfaction and improve customer experience.,5,Fair,2,Poor,FALSE,TRUE,FALSE,FALSE,33,17
Cost Savings,Cost of LMS less Cost of Scribe licences annually,ClubWise,Accelerate Creation of Knowledge Base Articles for Customer Success / Support using AI,L1. Using external AI tools for basic internal productivity,Enables removal of existing LMS licence costs,3,Poor,5,Fair,TRUE,FALSE,TRUE,TRUE,7,9
Customer Adoption,POC product embedded in the ClubWise live environment for Anytime Australia ahead of Anytime Fitness Key Day Zero sale and used without impact on production system,ClubWise,Day Zero Sale - Joiners Dashboard,L4.  Using AI to enhance existing customer-facing products,Provide easier access to data whilst mitigating the risk of perfromance reduction in the core platform,4,Fair,5,Fair,FALSE,TRUE,TRUE,FALSE,16,26
Usage Metrics,Run at least weekly with output shared with AF AU master franchisor and Purpose Brands,ClubWise,Day Zero Sale - Joiners Dashboard,L4.  Using AI to enhance existing customer-facing products,Validate ClubWise Evolution New Joining Module sales performance,2,Poor,2,Poor,FALSE,TRUE,FALSE,TRUE,8,15
Revenue Impact,System performance in ms 50% faster than ClubWise Dashboard in production,ClubWise,Day Zero Sale - Joiners Dashboard,L4.  Using AI to enhance existing customer-facing products,"AI Dashboard removed requirement for direct access of ClubWise production system in periods of heavy load, impriving system performance and speed of data delivery",4,Fair,5,Fair,FALSE,TRUE,TRUE,TRUE,24,11
Market Differentiation,POC product embedded in the ClubWise live environment in 5 ClubWise Beta clubs by end of May 2026,ClubWise,Insights Plus Module,L5.  Entirely new product capabilities powered by AI,Demostrates ClubWise customer facing AI product capabilities,3,Poor,2,Poor,TRUE,FALSE,FALSE,FALSE,7,18
Competitive Advantage,Number of prompts used in new Dashboard (per client).,ClubWise,Insights Plus Module,L5.  Entirely new product capabilities powered by AI,Active customer use of native language reporting capabilities - competitors do not currently have such functionality in their platforms,4,Fair,5,Fair,FALSE,FALSE,TRUE,TRUE,19,9
Revenue Impact,Number of upsold Insights Modules in 2026.  Target at least 30 paying customers by year end,ClubWise,Insights Plus Module,L5.  Entirely new product capabilities powered by AI,Enhances existing ClubWise Dashboard to create an AI powered sellable module which can be upsold to exisitng clients.,2,Poor,8,Excellent,FALSE,FALSE,TRUE,TRUE,18,16
Employee Satisfaction,Case % handled by Support Agent vs employees from Salesforce (target 20% of cases handed by agent),ClubWise,AI Support Agent,L3.  AI-powered internal business process improvements,Reduction in the volume of cases per support agent,2,Poor,6,Good,FALSE,TRUE,TRUE,FALSE,9,17
Productivity Gains,Salesforce Reporting improvements in average time to respond and resolve,ClubWise,AI Support Agent,L3.  AI-powered internal business process improvements,Improves SLT scores for response and resolve metrics,4,Fair,4,Fair,TRUE,FALSE,TRUE,FALSE,8,10
Cost Savings,Reduction in how to cases managed by Customer Success staff by 20% (via Salesforce),ClubWise,AI Support Agent,L3.  AI-powered internal business process improvements,"Encourages use of AI support tools to improve the customer experience, enhance knowledge base tools and reduce time spent on repetitive support taks to focus on customer engagement and added value",8,Excellent,3,Poor,TRUE,TRUE,TRUE,FALSE,31,14
Employee Satisfaction,50% reduction in cycle time for data migration process,ClubWise,Data migration process improvements,L3.  AI-powered internal business process improvements,Reduces time to complete data migration work for club on-boarding,4,Fair,3,Poor,TRUE,FALSE,TRUE,FALSE,10,9
Productivity Gains,Reductioin of average time to onboard a club with a data migration requirement of 30%,ClubWise,Data migration process improvements,L3.  AI-powered internal business process improvements,Increased capacity for inboarding of clubs,1,Very Poor,3,Poor,FALSE,FALSE,TRUE,FALSE,6,15
Cost Savings,Number of hours returned to the team resulting in operational efficiencies (TBD),ClubWise,Data migration process improvements,L3.  AI-powered internal business process improvements,Reduced effort required to onboard clubs,1,Very Poor,5,Fair,FALSE,FALSE,TRUE,TRUE,6,12
Employee Satisfaction,All 16 developers to have Claude Code.,Jonas Fitness Inc,Claude Code Internal to all developers,L3.  AI-powered internal business process improvements,16 Developers,2,Poor,2,Poor,FALSE,TRUE,FALSE,TRUE,2,7
Productivity Gains,Measuring kanban board KPI's.  Would expect a 30% increase in PBI throughput,Jonas Fitness Inc,Claude Code Internal to all developers,L3.  AI-powered internal business process improvements,30% Increase in Throughput,4,Fair,4,Fair,TRUE,FALSE,TRUE,FALSE,4,12
Cost Savings,,Jonas Fitness Inc,Claude Code Internal to all developers,L3.  AI-powered internal business process improvements,,0,Empty,0,Empty,FALSE,FALSE,FALSE,FALSE,0,0
Adoption Rate,Confirm all 6 have access.,Jonas Fitness Inc,Sales Team Enterprise ChatGPT,L1. Using external AI tools for basic internal productivity,6 Sales FTE to have access to the tool and be trained on how to use it for administrative functions.,2,Poor,0,Very Poor,FALSE,FALSE,FALSE,FALSE,20,5
Productivity Gains,Track time for completion of projects with a 20% increase in time goal.,Jonas Fitness Inc,Sales Team Enterprise ChatGPT,L1. Using external AI tools for basic internal productivity,"ChatGPT helps improve accuracy and saves considerable time by automating billing statement comparisons, answering contract questions, and drafting RFP documents.",6,Good,4,Fair,TRUE,FALSE,TRUE,FALSE,20,13
Cost Savings,,Jonas Fitness Inc,Sales Team Enterprise ChatGPT,L1. Using external AI tools for basic internal productivity,,0,Empty,0,Empty,FALSE,FALSE,FALSE,FALSE,0,0
Adoption Rate,"First step is to measure use cases and the ability to solve them using AI with a goal of one use case identitifed and solved per month, 3 a quarter or .20 a week.",Jonas Fitness Inc,Operations/Maintenance Enterprise ChatGPT,L1. Using external AI tools for basic internal productivity,"Where applicable, give access to Enterprise Chat GPT to teams to help them with day to day functions.",2,Poor,5,Fair,FALSE,FALSE,FALSE,TRUE,18,34
Productivity Gains,"Tracking case efficiency, turnaround time, and other support metrics that should improve as the use of these tools are better understood.  Aim to reduce errors in reconcilation cases by 20%.",Jonas Fitness Inc,Operations/Maintenance Enterprise ChatGPT,L1. Using external AI tools for basic internal productivity,Quickly generates KPI calculations not auto-generated from other tools or that will take time to develop and allows us to report more accurately apples to apples across business units. Reduces manual Excel errors. Allows training team to help compare data or help with billing.,6,Good,6,Good,TRUE,FALSE,TRUE,FALSE,44,30
Cost Savings,,Jonas Fitness Inc,Operations/Maintenance Enterprise ChatGPT,L1. Using external AI tools for basic internal productivity,,0,Empty,0,Empty,FALSE,FALSE,FALSE,FALSE,0,0
Market Differentiation,80% of correct answers and cases that result from a customer being routed from the chat bot to the call center for additional help.,Jonas Fitness Inc,IRIS Chat Bot,L5.  Entirely new product capabilities powered by AI,Provides customers with accurate information when asked from within the Compete application.,3,Poor,5,Fair,TRUE,FALSE,TRUE,FALSE,12,24
