business_name,project_name,project_category,strategic_value_level,kpi_number,kpi_category,kpi_name,kpi_support_description,kpi_measurement_approach,kpi_target,kpi_actual,kpi_delta,kpi_notes
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Simple Tool,1,Adoption Rate,Employee AI Tool Adoption Rate,"80% of near shore resources with a Copilot licence
(42 users)",Tracking the number of licences issues as a % of near shore headcount (POs raised),80,66,-14,
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Simple Tool,2,Productivity Gains,Successful Adaptation to New Use Cases,Near shore team members encouraged to use MS Copilot extensively across the MS Office apps within the ClubWise Ecosystem.  Taking an AI first approach within the tools.,75% adaptation across Microsoft Office suite within ClubWise Ecosysystem,75,78,3,
ClubWise,"Upskill for AI adoption for Productivity, Efficiency and Upskilling",L1. Using external AI tools for basic internal productivity,Simple Tool,3,Cost Savings,Employee Productivity Gains,Encouraging use of AI tools to reduce the time taken on everyday tasks,Under review,0,0,0,
ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Complex Tool,1,Integration Depth,Employee AI Tool Adoption Rate,100% of development team actively using Amazon Q tools for code review.,75% of Developers using Q Developer in weekly sprints,75,85,10,
ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Complex Tool,2,Process Improvement,Data Quality Score (Valid-data ratio),Improved adherence to coding standards and policy will reduce errors and development escapes.,75% 0f code delivered weekly crearted / reviewed weekly using AI tools,75,25,-50,
ClubWise,Upskill R&D to achieve optimized AI use,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Complex Tool,3,Skills Development,Employee Productivity Gains,Developers will develop code faster and with fewer errors,Code delivery velocity  increases by 50%  vs benchmark taken in Q3,1,0.1,-0.9,
ClubWise,Accelerate Creation of Knowledge Base Articles for Customer Success / Support using AI,L1. Using external AI tools for basic internal productivity,Simple Tool,1,Adoption Rate,Employee AI Tool Adoption Rate,Customer facing teams have at least one team member creating user documentation weekly,Number of actively used licences in target group - Target 1 licence for each of the 5 teams.  Target 100% adoption,5,5,0,
ClubWise,Accelerate Creation of Knowledge Base Articles for Customer Success / Support using AI,L1. Using external AI tools for basic internal productivity,Simple Tool,2,Productivity Gains,Process Cycle Time Reduction,This solution will enable internal teams to easily and quickly create user documentation and processes allowing them to focus on more complex problems which will driver more job satisfaction and improve customer experience.,Scribe to be used to update 60 core knowledge base articles by the end of October 2025,60,37,-23,
ClubWise,Accelerate Creation of Knowledge Base Articles for Customer Success / Support using AI,L1. Using external AI tools for basic internal productivity,Simple Tool,3,Cost Savings,Cost Savings,Enables removal of existing LMS licence costs,Cost of LMS less Cost of Scribe licences annually,0,0,0,
ClubWise,Day Zero Sale - Joiners Dashboard,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,1,Customer Adoption,New AI-enabled Products/Features,Provide easier access to data whilst mitigating the risk of perfromance reduction in the core platform,POC product embedded in the ClubWise live environment for Anytime Australia ahead of Anytime Fitness Key Day Zero sale and used without impact on production system,1,1,0,
