business_id,business_name,contact_email,is_active
ClubOS,ClubOS,ai@club-os.com,True
InnoSoft,InnoSoft,ai@fusionfamily.com,True
Campsite,Campsite,ai@campmanagement.com,True
EZ Facility,EZ Facility,ai@ezfacility.com,True
ClubWise,ClubWise,ai@clubwise.com,True
JFI,Jonas Fitness Inc,ai@jonasfitness.com,True
Business7,Business Unit 7,bu007@example.com,True
Business8,Business Unit 8,bu008@example.com,True
Business9,Business Unit 9,bu009@example.com,True
Business10,Business Unit 10,bu010@example.com,True
Business11,Business Unit 11,bu011@example.com,True
Business12,Business Unit 12,bu012@example.com,True
Business13,Business Unit 13,bu013@example.com,True
Business14,Business Unit 14,bu014@example.com,True
Business15,Business Unit 15,bu015@example.com,True
Business16,Business Unit 16,bu016@example.com,True
Business17,Business Unit 17,bu017@example.com,True
Business18,Business Unit 18,bu018@example.com,True
Business19,Business Unit 19,bu019@example.com,True
Business20,Business Unit 20,bu020@example.com,True
Business21,Business Unit 21,bu021@example.com,True
Business22,Business Unit 22,bu022@example.com,True
Business23,Business Unit 23,bu023@example.com,True
Business24,Business Unit 24,bu024@example.com,True
Business25,Business Unit 25,bu025@example.com,True
Business26,Business Unit 26,bu026@example.com,True
Business27,Business Unit 27,bu027@example.com,True
Business28,Business Unit 28,bu028@example.com,True
Business29,Business Unit 29,bu029@example.com,True
Business30,Business Unit 30,bu030@example.com,True
