output_column_name,input_row_number,input_column_letter,data_type,is_required,section
project_name,3,F,text,True,Overview
project_uuid,0,,text,False,Overview
project_description,5,F,text,False,Overview
project_category,7,F,text,False,Overview
strategic_value_level,8,F,text,False,Overview
project_examples,9,F,text,False,Overview
ratio_impacted,7,AC,text,False,Overview
ai_tools_services,13,B,text,False,Overview
additional_context,0,,text,False,Overview
contact,17,C,text,False,Resources
product_manager,18,C,text,False,Resources
analyst,19,C,text,False,Resources
tech_lead,20,C,text,False,Resources
executive,21,C,text,False,Resources
kpi1_category,12,F,text,False,KPIs
kpi1_name,13,G,text,False,KPIs
kpi1_support_description,15,F,text,False,KPIs
kpi1_measurement_approach,19,F,text,False,KPIs
kpi1_target,25,F,number,False,KPIs
kpi1_actual,26,F,number,False,KPIs
kpi1_delta,27,F,number,False,KPIs
kpi1_notes,28,F,text,False,KPIs
kpi2_category,12,O,text,False,KPIs
kpi2_name,13,P,text,False,KPIs
kpi2_support_description,15,O,text,False,KPIs
kpi2_measurement_approach,19,O,text,False,KPIs
kpi2_target,30,F,number,False,KPIs
kpi2_actual,31,F,number,False,KPIs
kpi2_delta,32,F,number,False,KPIs
kpi2_notes,33,F,text,False,KPIs
kpi3_category,12,X,text,False,KPIs
kpi3_name,13,Y,text,False,KPIs
kpi3_support_description,15,X,text,False,KPIs
kpi3_measurement_approach,19,X,text,False,KPIs
kpi3_target,35,F,number,False,KPIs
kpi3_actual,36,F,number,False,KPIs
kpi3_delta,37,F,number,False,KPIs
kpi3_notes,38,F,text,False,KPIs
idea_project_defined_target,10,AO,date,False,Milestones
idea_project_defined_completed,10,AR,date,False,Milestones
idea_project_defined_days_to_target,10,AU,text,False,Milestones
idea_business_case_approved_target,11,AO,date,False,Milestones
idea_business_case_approved_completed,11,AR,date,False,Milestones
idea_business_case_approved_days_to_target,11,AU,text,False,Milestones
idea_resources_allocated_target,12,AO,date,False,Milestones
idea_resources_allocated_completed,12,AR,date,False,Milestones
idea_resources_allocated_days_to_target,12,AU,text,False,Milestones
develop_technical_poc_validated_target,13,AO,date,False,Milestones
develop_technical_poc_validated_completed,13,AR,date,False,Milestones
develop_technical_poc_validated_days_to_target,13,AU,text,False,Milestones
develop_dev_roadmap_documented_target,14,AO,date,False,Milestones
develop_dev_roadmap_documented_completed,14,AR,date,False,Milestones
develop_dev_roadmap_documented_days_to_target,14,AU,text,False,Milestones
develop_coding_started_target,15,AO,date,False,Milestones
develop_coding_started_completed,15,AR,date,False,Milestones
develop_coding_started_days_to_target,15,AU,text,False,Milestones
pilot_deployment_to_beta_target,16,AO,date,False,Milestones
pilot_deployment_to_beta_completed,16,AR,date,False,Milestones
pilot_deployment_to_beta_days_to_target,16,AU,text,False,Milestones
pilot_initial_metrics_feedback_target,17,AO,date,False,Milestones
pilot_initial_metrics_feedback_completed,17,AR,date,False,Milestones
pilot_initial_metrics_feedback_days_to_target,17,AU,text,False,Milestones
pilot_feedback_affecting_code_target,18,AO,date,False,Milestones
pilot_feedback_affecting_code_completed,18,AR,date,False,Milestones
pilot_feedback_affecting_code_days_to_target,18,AU,text,False,Milestones
live_general_release_available_target,19,AO,date,False,Milestones
live_general_release_available_completed,19,AR,date,False,Milestones
live_general_release_available_days_to_target,19,AU,text,False,Milestones
live_success_metrics_tracking_target,20,AO,date,False,Milestones
live_success_metrics_tracking_completed,20,AR,date,False,Milestones
live_success_metrics_tracking_days_to_target,20,AU,text,False,Milestones
live_feedback_loop_continuing_target,21,AO,date,False,Milestones
live_feedback_loop_continuing_completed,21,AR,date,False,Milestones
live_feedback_loop_continuing_days_to_target,21,AU,text,False,Milestones
strategic_value,3,AV,number,False,Scoring
stage_multiplier,4,AV,number,False,Scoring
stage_last_quarter,5,AV,number,False,Scoring
project_score,6,AV,number,False,Scoring
total_project_score,0,,number,False,Scoring
idea_project_defined_notes,10,AY,text,False,Milestones
idea_business_case_approved_notes,11,AY,text,False,Milestones
idea_resources_allocated_notes,12,AY,text,False,Milestones
develop_technical_poc_validated_notes,13,AY,text,False,Milestones
develop_dev_roadmap_documented_notes,14,AY,text,False,Milestones
develop_coding_started_notes,15,AY,text,False,Milestones
pilot_deployment_to_beta_notes,16,AY,text,False,Milestones
pilot_initial_metrics_feedback_notes,17,AY,text,False,Milestones
pilot_feedback_affecting_code_notes,18,AY,text,False,Milestones
live_general_release_available_notes,19,AY,text,False,Milestones
live_success_metrics_tracking_notes,20,AY,text,False,Milestones
live_feedback_loop_continuing_notes,21,AY,text,False,Milestones
