business_name,kpi_category,measurement_approach
Campsite,Cost Savings,"Ticket count satisfactorily closed by Agent / Rep will be measures alongside the ticket count / costs to identify if the two are closely correlated. MR to increase from 5.2 to 7 by Q2 2026, equivelent to $<need amount> OPEX saving."
Campsite,Employee Satisfaction,"Staff Satisfaction surveys will be conducted as we introduce the Agent and train it to work on, first, Low-IP tasks, and provide copilot support to the support representatives. WE CURRENTLY DO NOT HAVE A BASELINE. THIS WILL BE CONDUCTED PRIOR TO GOING LIVE WITH THE AGENT. IMPROVEMENT GOAL TBD."
Campsite,Productivity Gains,We will track calls / Agent v calls / Rep and we will ask all callers working with the Agent to leave a short feedback note/rating to determine if this improves their perception of the service. Additonally our normal CSAT surveys will continue.
Campsite,Integration Depth,"% of workflow steps automated, reduction in manual hours, and # of automated workflows deployed.
Target: ≥30% automation in priority processes within 12 months."
Campsite,Process Improvement,"Pre vs. post cycle time, % reduction achieved, and # of processes with ≥20% improvement.
Target: 25–40% cycle time reduction in Year 1."
Campsite,Skills Development,"% of employees actively using approved AI tools, training completion rates, and usage frequency.
Target: ≥60% adoption across eligible roles within 12 months."
Campsite,Competitive Advantage,"Time required to expand this feature to a new use case.
Target: ≤10 days to deliver the first expansion use case."
Campsite,Market Differentiation,"Feature activation rate (% of eligible users who begin using this feature).
Target: ≥50% activation within 90 days of launch."
Campsite,Revenue Impact,"Conversion rate lift attributable to this feature vs. pre-launch baseline.
Target: 10–20% uplift within 6–12 months."
Campsite,Integration Depth,"% of R&D team actively using Claude Code weekly.
Target: ≥75% weekly active use within 90 days."
Campsite,Process Improvement,"Average time saved per task vs. baseline.
Target: ≥30% reduction in time to complete common dev tasks within 6 months."
Campsite,Skills Development,"Increase in completed story points or tasks per developer.
Target: 15–25% gain in output within 6 months."
Campsite,Customer Adoption,"Metric: % of eligible customers who enable/use the feature.
Target: ≥60% within 6 months."
Campsite,Revenue Impact,"ARR attributed to this feature.
Target: $___ ARR within 12 months of launch."
Campsite,Usage Metrics,"Metric: Avg. # of AI pairing runs per customer per month.
Target: ≥3 per month per active customer."
Campsite,Cost Savings,"Estimated annual labor cost saved based on hours reduced.
Target: ≥$___ in annual savings."
Campsite,Employee Satisfaction,"Increase in demos produced per employee.
Target: ≥30% increase within 6 months."
Campsite,Productivity Gains,"Reduction in time required to create a customized demo.
Target: ≥50% reduction within 3 months of rollout."
ClubOS,Adoption Rate,Adoption rate %
ClubOS,Productivity Gains,Effective Hours Saved (EHS) per week
ClubOS,Cost Savings,Reduction in Average Call Handling time for Agents.   Reduce to the Industry Average of 8-10 mins (use average of 9 as the goal)
ClubOS,Employee Satisfaction,"Active Sign in for users for the previous 7 days for Agents, CSMs, Onboarding and Ops management team (total 30 users)"
ClubOS,Productivity Gains,Reduction in average case resolution times for cases opened in the previous reporting period (week).   Industry standard 12-24 Buisness hours.  Set goal of 18 (average)
ClubOS,Customer Adoption,We will track the number of customers using the AI.
ClubOS,Revenue Impact,Track the total number of cases opened by clubs for general product questions.
ClubOS,Usage Metrics,We will track the number of questions handled by the AI.
ClubOS,Customer Adoption,The total number of members using the chat bot to get support.
ClubOS,Revenue Impact,Average resolution time for member support cases
ClubOS,Usage Metrics,The total number of inquiries handled by the chat bot that could be handled without escalation to a support rep.
ClubOS,Customer Adoption,Percentage of customers using AI to create email campaigns vs total campaigns created
ClubOS,Revenue Impact,Additional revenue from new customers or customers requesting additional AI prompts.
ClubOS,Usage Metrics,Total number of prompts sent into the AI to create email content.
ClubOS,Competitive Advantage,The percentage of inbound messages that could be handled via automation / AI.
ClubOS,Market Differentiation,Total number of customers using the agent for inbound requests.
ClubOS,Revenue Impact,Revenue from customers that upgrade to AI solution.
ClubOS,Adoption Rate,Current hours devoted to creating content vary from week to week but average around 4 hours per week. The goal is to cut that time in half with AI.
ClubOS,Cost Savings,"Since eliminatingthe Belay resource, we are saving $35K annually."
ClubOS,Productivity Gains,"Current avg weekly demos is 5, the goal is to do 9 weekly new logo demos."
ClubWise,Adoption Rate,Tracking the number of licences issues as a % of near shore headcount (POs raised)
ClubWise,Cost Savings,Under review
ClubWise,Productivity Gains,75% adaptation across Microsoft Office suite within ClubWise Ecosysystem
ClubWise,Integration Depth,75% of Developers using Q Developer in weekly sprints
ClubWise,Process Improvement,75% 0f code delivered weekly crearted / reviewed weekly using AI tools
ClubWise,Skills Development,Code delivery velocity  increases by 50%  vs benchmark taken in Q3
ClubWise,Adoption Rate,Number of actively used licences in target group - Target 1 licence for each of the 5 teams.  Target 100% adoption
ClubWise,Cost Savings,Cost of LMS less Cost of Scribe licences annually
ClubWise,Productivity Gains,Scribe to be used to update 60 core knowledge base articles by the end of October 2025
ClubWise,Customer Adoption,POC product embedded in the ClubWise live environment for Anytime Australia ahead of Anytime Fitness Key Day Zero sale and used without impact on production system
ClubWise,Revenue Impact,System performance in ms 50% faster than ClubWise Dashboard in production
ClubWise,Usage Metrics,Run at least weekly with output shared with AF AU master franchisor and Purpose Brands
ClubWise,Competitive Advantage,Number of prompts used in new Dashboard (per client).
ClubWise,Market Differentiation,POC product embedded in the ClubWise live environment in 5 ClubWise Beta clubs by end of May 2026
ClubWise,Revenue Impact,Number of upsold Insights Modules in 2026.  Target at least 30 paying customers by year end
ClubWise,Cost Savings,Reduction in how to cases managed by Customer Success staff by 20% (via Salesforce)
ClubWise,Employee Satisfaction,Case % handled by Support Agent vs employees from Salesforce (target 20% of cases handed by agent)
ClubWise,Productivity Gains,Salesforce Reporting improvements in average time to respond and resolve
ClubWise,Cost Savings,Number of hours returned to the team resulting in operational efficiencies (TBD)
ClubWise,Employee Satisfaction,50% reduction in cycle time for data migration process
ClubWise,Productivity Gains,Reductioin of average time to onboard a club with a data migration requirement of 30%
EZ_Facility,Competitive Advantage,% of clients with Advanced Email Campaigns enabled who are actively using the module.
EZ_Facility,Market Differentiation,Total # of clients with the Advanced Email Campaigns module enabled.
EZ_Facility,Revenue Impact,Total ARR sold in USD. (Excludes revenue from product bundles that include Advanced Email Campaigns to avoid overlap with other initiatives.)
EZ_Facility,Employee Satisfaction,"Zendesk tracks the number of tickets that make use of the AI tools.  We will use this to track adoption of the features as they are added.  We will start small and increase the number as additional features are set up and activated. For October 2025, we are only using the summary and writing tools."
EZ_Facility,Productivity Gains,The metric 'Average time to resolve (business hours)' will be tracked for support tickets thru Zendesk Analytics.  The target will be to have the monthly average less than 24 business hours (3 business days)
EZ_Facility,Employee Satisfaction,"Once AI Agents are live, we will use Zendesk Analytics to track the percentage of chats that are transferred to a live agent. In Oct 2025, 46% of chats were transferred to a live agent. The goal will be to reduce this to 25% within 12 months after launching Copilot."
EZ_Facility,Productivity Gains,"Zendesk tracks the tickets that customers mark as self-solved, so we will use this metric to track improvements.  In October 2025, we had 0% self-solved issues reported. Within 9 months of launching the AI Agent, we aim to increase this to 7%."
EZ_Facility,Customer Adoption,"Track % of users who adopt AI scheduling vs manual methods. Measure AI feature usage vs total scheduling operations. Target: 30% adoption by end of Q2 2026, 60% by Q3, 80%+ by Q4."
EZ_Facility,Revenue Impact,"Track upgrades to AI-enabled plans, customer retention improvements, and new customer acquisition attributed to AI features. Monitor revenue increase from AI-enhanced product tiers."
EZ_Facility,Usage Metrics,Compare time spent before/after AI adoption per facility. Track average schedule creation time reduction. Target: 40% reduction in schedule creation time (hours saved).
EZ_Facility,Cost Savings,Weekly tasks completed.  We currently complete an average of 155 account-related tasks per week and aim to increase that rate to 232 by the end of Q2 2026.
EZ_Facility,Employee Satisfaction,"Total # of active automations.  We currently have 23 automations in place, with an additional 40 planned for completion by the end of Q2 2026."
EZ_Facility,Productivity Gains,"Weekly customer proactive touchpoints (emails, calls, and meetings).  Our goal is to raise weekly outreach from an average of 59 to 78 unique accounts, expanding our engagement reach and pipeline potential by the end of April 2026."
Jonas Fitness Inc,Employee Satisfaction,All 16 developers to have Claude Code.
Jonas Fitness Inc,Productivity Gains,Measuring kanban board KPI's.  Would expect a 30% increase in PBI throughput
Jonas Fitness Inc,Adoption Rate,"Measure the amount of leads received compared to how many are valid, qualified leads."
Jonas Fitness Inc,Cost Savings,Number of sales compared to number of leads generated and our conversion rate.
Jonas Fitness Inc,Productivity Gains,Compare our converstion rate from before the use of the tool to after the use of the tool.  Conversion rate of number of demos completed to number of sales completed.
Jonas Fitness Inc,Adoption Rate,Confirm all 6 have access.
Jonas Fitness Inc,Productivity Gains,Track time for completion of projects with a 20% increase in time goal.
Jonas Fitness Inc,Adoption Rate,"First step is to measure use cases and the ability to solve them using AI with a goal of one use case identitifed and solved per month, 3 a quarter or .20 a week."
Jonas Fitness Inc,Productivity Gains,"Tracking case efficiency, turnaround time, and other support metrics that should improve as the use of these tools are better understood.  Aim to reduce errors in reconcilation cases by 20%."
Jonas Fitness Inc,Competitive Advantage,"Comparision of the number of calls routed to support and metrics around the use of the tool, inital goal of 20% routed to support."
Jonas Fitness Inc,Market Differentiation,80% of correct answers and cases that result from a customer being routed from the chat bot to the call center for additional help.
Jonas Fitness Inc,Employee Satisfaction,20% of correct answers and cases that result from a customer being routed from the chat bot to the call center for additional help.
Jonas Fitness Inc,Productivity Gains,Comparison of the number of calls routed to support and metrics around the use of the tool with 20% reduction in in person support needed.
Jonas Fitness Inc,Customer Adoption,"Usage metrics in the front desk of # of users accessing and using the new interface, goal of 20% usage."
Jonas Fitness Inc,Usage Metrics,Customer feedback in focus groups and NPS surveys with satisfaction score increase of 20%.
Jonas Fitness Inc,Revenue Impact,"Attrition metrics comparision, goal of $100K less attrition."
Jonas Fitness Inc,Usage Metrics,Usage metrics in the front desk of # of users accessing and using the new interface.  Goal of 20%.
Jonas Fitness Inc,Competitive Advantage,Feedback cycles with our Product Owner and NPS surveys of our customers of 20% increase in Satification.
Jonas Fitness Inc,Market Differentiation,"Evaluate performance through an audit of customer adoption rates, including sign-ups and active usage following the tool’s release, goal of 20% adoption."
Jonas Fitness Inc,Revenue Impact,"Quarterly/Monthly sales figures.  Increase of $200K in 2027,  $300K in 2028, $500K in 2029."
Jonas Fitness Inc,Adoption Rate,"Ensure resource has the tool, has been trained and then tracking progress on usage."
Jonas Fitness Inc,Cost Savings,"Meaure number of impressions, clicks and or responses to our campaigns."
Jonas Fitness Inc,Productivity Gains,Conduct time audits to log time spent on marketing activities before and after the adoption of the tool.
